name,market 0,market 1,market 2,market 3,market 4,market 5,market 6,market 7,market 8,market 9,market 10,market 11,market 12,market 13,market 14,market 15,market 16,market 17,market 18,market 19,market 20,market 21,market 22,market 23,market 24,market 25,market 26,market 27,market 28,market 29,market 30,market 31,market 32,market 33,market 34,market 35,market 36,market 37,market 38,market 39,market 40,market 41,market 42,market 43,market 44,market 45,market 46,market 47,market 48,market 49,market 50,market 51,market 52,market 53,market 54,market 55,market 56,market 57,market 58,market 59,market 60,market 61,market 62,market 63,market 64,market 65,market 66,market 67,market 68,market 69,market 70,market 71,market 72,market 73,market 74,market 75,market 76,market 77,market 78,market 79,market 80,market 81,market 82,market 83,market 84,market 85,market 86,market 87,market 88,market 89,market 90,market 91,market 92,market 93,market 94,market 95,market 96,market 97,market 98,market 99
market 13,7216.54,5564.39,7431.52,9014.45,3666.53,2862.53,4455.8,4314.85,3751.71,2781.61,5090.25,5773.77,1320.05,0.0,10267.9,1853.49,3042.87,2770.95,3709.3,18835.88,3668.17,8277.49,7936.24,6999.51,7934.61,2132.35,10606.02,6617.18,4689.81,6134.69,1012.31,12542.43,9006.94,5585.72,2217.09,2728.52,2485.45,3435.58,2254.75,6865.01,7737.77,5689.3,5166.83,3148.37,10431.7,1160.89,1124.43,5638.94,6061.43,10099.91,2122.83,6914.55,7828.23,6437.71,8556.04,5642.02,5197.04,8539.81,5823.16,4939.53,9410.25,1953.33,9858.66,4119.16,8214.99,5060.92,6430.02,6610.18,7726.19,6352.11,3642.1,7997.39,4750.86,5990.87,9388.94,3748.81,4489.75,11686.08,3609.62,3347.92,12582.53,4774.03,8245.13,4116.9,3291.7,4812.6,8041.54,2156.58,8585.89,9543.78,11844.24,7793.77,1265.79,2622.85,8588.72,5830.58,5639.42,6582.97,10532.89,8643.34
market 14,6752.5,4853.25,3467.19,10314.32,9322.51,8248.04,11949.56,8741.78,7792.5,7618.36,11496.67,12180.19,10670.16,10267.9,0.0,9134.16,10166.23,7546.58,9590.24,11795.17,7233.57,9274.61,5976.95,7568.42,9880.6,10748.53,14580.27,8021.91,14242.06,7016.77,10304.46,13589.0,7513.79,5146.9,8309.69,11381.57,9625.54,6968.03,8610.31,3846.02,4740.3,6710.78,6628.38,12609.77,11478.27,9178.7,9143.47,13315.4,12260.78,3836.77,8209.77,6946.19,5723.36,4025.71,6713.33,7575.6,5071.35,14871.97,4422.98,5597.92,3296.91,10427.21,739.55,8405.75,6721.84,5208.63,12716.22,10436.39,11286.5,10148.3,10121.01,9297.26,13587.06,9964.94,13068.51,8760.26,9268.14,10460.81,12503.66,12294.4,13629.1,7230.88,3976.82,6182.82,10344.37,14274.0,15535.3,8628.38,5905.99,6888.57,7713.7,7259.0,9041.77,9911.25,10534.95,6412.04,12187.14,5238.02,3339.8,2303.68
market 15,7151.12,4574.28,6321.92,9409.07,2135.68,1396.87,6100.5,4829.2,4048.19,2689.3,6497.64,7181.16,2964.75,1853.49,9134.16,0.0,1512.02,2656.88,4876.81,18770.46,2220.3,8672.11,7899.57,5337.49,8552.72,1656.9,9075.16,6943.03,5267.44,6079.16,2657.01,12937.05,8941.52,4424.02,1296.9,2289.94,3699.52,2879.34,2757.4,6291.55,7507.82,5623.88,3504.8,3518.14,10826.32,1059.65,1384.2,7283.64,4530.58,8437.88,2007.57,6849.13,7693.03,5600.83,8490.62,5609.46,4591.94,9947.2,4743.54,3748.22,8248.55,1359.73,8768.69,2417.29,8149.57,4082.85,7837.41,7124.53,8240.54,4650.24,4809.61,8392.02,4722.86,6505.22,7687.07,2046.94,4943.01,9984.21,5254.32,3430.21,12977.15,4758.36,7923.46,3560.66,4752.5,5182.37,9686.24,897.28,8520.47,9478.36,11778.82,7728.35,1663.72,1199.91,9103.07,5765.16,4108.57,6206.12,10170.63,7574.92
market 16,8461.46,5606.35,7083.93,10719.42,1047.78,2503.71,7448.11,6330.52,5358.53,3999.64,7998.96,8682.48,4312.36,3042.87,10166.23,1512.02,0.0,3967.22,6378.14,20080.8,3098.22,9982.45,9209.91,4450.98,9863.06,1541.31,7842.41,8253.37,4452.11,7389.5,4004.62,14247.39,10251.87,5186.02,2480.17,1630.82,5200.84,4189.68,4258.72,7275.9,8818.16,6934.22,3897.2,3220.47,12136.66,2560.97,2885.52,8631.25,3297.82,8689.96,3317.92,8159.47,9003.37,6632.9,9800.96,6919.8,5841.08,11448.52,5775.61,4786.39,9020.51,1325.58,9800.76,2107.64,9459.91,5114.92,9338.74,8625.85,9741.86,3638.48,6310.93,9702.36,3797.11,8006.54,6675.31,1737.29,6444.33,8972.45,6175.06,2504.45,14287.49,6068.7,9233.8,4786.98,6253.83,4621.08,11033.85,2066.55,9830.81,10788.7,13089.16,9038.69,3165.05,535.66,10604.39,7075.5,2875.81,7516.46,11047.47,8606.99
market 17,4699.73,3137.07,5026.87,6957.69,4107.3,2420.4,5290.82,2663.56,1596.8,230.34,5039.38,5722.9,3272.79,2770.95,7546.58,2656.88,3967.22,0.0,3132.95,16319.07,2678.69,6220.72,5419.44,6235.74,6101.33,4081.74,11298.91,4491.64,6942.55,3627.77,2907.09,10485.66,6490.13,3874.67,1833.17,4800.92,2686.89,743.86,1317.09,4175.33,5220.96,3172.49,4226.87,5401.11,8374.93,1869.1,1646.53,6656.66,6985.78,8085.9,833.54,4397.74,5311.42,3788.9,6039.23,3158.07,2475.72,8488.93,3436.09,2824.34,7546.04,3902.72,7137.34,4003.17,5698.18,2673.84,6379.15,4794.92,5910.93,6427.07,3520.36,5940.63,7003.61,4175.61,9463.9,3681.22,3167.4,11077.24,5537.05,5420.32,10525.76,2306.97,5682.61,1555.06,3463.26,7065.34,8876.56,2187.91,6069.08,7026.97,9327.43,5276.96,1544.83,3665.8,6773.46,3313.77,6563.77,3951.33,7929.78,6036.69
market 18,5423.09,5637.85,7652.94,6174.88,6773.86,5088.26,2748.83,1422.02,1866.8,2802.43,2340.26,3023.45,2806.23,3709.3,9590.24,4876.81,6378.14,3132.95,0.0,17081.79,5687.57,5437.92,6182.15,9244.61,4823.44,5747.39,13941.28,3777.61,8017.76,4106.27,3017.66,9702.86,7004.27,6752.06,4501.03,6343.57,1494.97,3539.49,2298.8,5836.99,6233.28,3975.1,7210.88,6418.45,7592.13,3821.77,3575.72,4114.67,9396.7,10963.3,3307.94,4780.69,6139.79,6000.01,6801.94,3230.65,4639.31,5789.48,6062.16,5701.74,10423.44,5568.37,9181.0,6671.02,6460.89,5299.91,3679.7,3499.02,4468.83,9093.63,822.63,5157.82,8094.93,2879.7,12130.46,6347.78,1052.82,14086.11,4503.1,6962.96,9742.95,2656.96,6740.65,4238.25,953.9,7327.58,6334.57,4854.47,6831.79,7789.68,10090.14,5598.74,3253.0,6066.03,5331.36,4326.09,8974.69,5103.63,9028.4,8080.35
market 19,11925.51,14359.07,13736.52,13908.5,20059.86,18535.28,19144.88,15772.7,15502.1,16094.41,17228.08,17911.26,18906.87,18835.88,11795.17,18770.46,20080.8,16319.07,17081.79,0.0,17770.74,12258.82,11447.62,18920.82,14219.55,20158.03,25932.67,13211.7,23018.84,13118.32,18592.17,12294.9,10168.96,15292.91,17948.05,20877.21,17753.58,16112.84,16778.41,12699.11,12014.99,13198.4,17012.45,21477.4,13796.77,17945.39,17722.82,19687.26,23099.36,15189.16,16947.13,12391.14,11525.69,13346.12,10429.41,13895.36,14692.64,19544.21,14182.05,15357.0,14649.3,19979.01,11577.66,19242.99,11068.14,15742.49,18018.0,15023.14,15625.45,20573.9,17512.37,12625.95,23079.9,15141.73,24008.46,19400.03,16238.23,21813.21,20676.57,21496.61,12334.99,14512.4,12111.82,15648.12,17982.86,23141.63,21675.1,18301.49,10617.61,9527.98,7494.67,11390.59,17621.12,19779.39,14873.9,13080.11,22677.36,13210.55,9283.02,12634.57
market 20,6449.01,2673.69,4162.26,9473.34,2404.64,1393.4,7468.01,5233.24,4166.48,2800.03,7385.59,8069.11,4617.76,3668.17,7233.57,2220.3,3098.22,2678.69,5687.57,17770.74,0.0,8563.99,6559.41,3468.91,8671.01,3727.53,9573.46,7007.29,7254.44,5860.8,4168.53,13001.32,7941.8,2264.36,1455.05,4360.57,4587.47,2486.51,3358.87,4343.24,5997.96,5105.29,1520.29,5652.71,10890.59,2568.04,2832.47,8812.59,5876.06,6390.72,2499.11,6326.34,6303.83,3700.24,7490.89,5636.83,3283.96,10835.15,2842.95,1720.94,6088.89,3408.83,6868.1,1507.94,7149.84,2182.26,8725.36,7364.61,8480.62,4042.75,5697.56,8456.28,6599.44,6745.3,7519.99,1653.69,5722.02,8310.41,6907.32,5306.78,13041.42,4884.07,6413.6,2452.95,5640.46,7316.94,11053.75,1726.2,7408.02,8478.63,10779.1,7194.79,3004.08,2843.24,9343.15,4981.97,5454.05,4744.01,8114.81,5674.33
market 21,2586.67,6811.99,8387.33,2696.11,10122.54,8436.93,7412.38,4142.63,4743.61,5996.06,6041.63,6725.15,7858.57,8277.49,9274.61,8672.11,9982.45,6220.72,5437.92,12258.82,8563.99,0.0,3112.57,11655.31,2527.78,9903.21,17314.15,1817.1,12681.9,2641.99,7853.09,5822.31,2805.98,8729.56,7849.7,10540.28,6636.79,6349.8,6158.33,6161.04,4406.57,3491.1,9557.43,11140.46,3711.58,7736.8,7490.74,8179.4,13001.01,11523.96,6848.78,2430.42,3388.37,6713.02,2881.53,3080.68,5596.95,7852.43,7281.07,7706.71,10984.1,9724.19,8654.03,9950.81,3042.89,6932.65,6326.22,3331.37,3933.68,12500.84,5837.5,1413.57,12742.96,3633.87,15479.13,9696.45,4557.99,16117.8,9628.27,11159.67,5862.41,3964.93,5210.22,6111.14,6373.12,12804.69,9983.32,8203.14,3565.89,3492.91,5609.97,1776.3,7168.02,9681.04,3182.12,3682.11,12579.01,4600.97,6675.41,8384.6
market 22,1026.55,4394.46,5444.33,4718.78,8948.45,7430.33,8245.24,4873.06,4602.46,5194.77,7349.88,8033.4,8007.23,7936.24,5976.95,7899.57,9209.91,5419.44,6182.15,11447.62,6559.41,3112.57,0.0,9449.52,4285.07,9258.39,16042.28,2521.01,12119.21,2218.68,7692.53,7678.49,1618.68,5987.7,6922.89,9977.58,6853.95,5135.12,5878.78,3419.71,1348.24,2298.76,7351.65,10577.76,5567.75,7045.76,6823.18,9611.08,12228.47,8555.74,6047.49,1492.18,330.04,3937.43,1167.77,2995.72,3568.03,9609.72,4620.9,5500.23,8015.88,9079.37,5648.78,8031.66,826.72,4540.57,8051.57,5232.53,5690.96,10511.58,6612.73,3269.74,12180.26,5300.29,13988.82,8182.81,5338.6,13611.65,9776.93,10596.97,7718.58,3612.76,2151.9,4545.38,7083.23,12241.99,11708.66,7326.93,989.77,2155.51,4455.98,1336.29,6721.48,8908.49,4939.41,2180.48,11806.46,2026.21,3617.09,5416.38
market 23,9359.07,5155.32,5201.74,12564.66,3604.29,4720.88,10894.6,8790.29,7723.53,6357.08,10812.18,11495.7,7949.11,6999.51,7568.42,5337.49,4450.98,6235.74,9244.61,18920.82,3468.91,11655.31,9449.52,0.0,11967.64,5565.07,7179.25,10098.61,8229.27,8952.11,7509.56,16092.64,10878.93,3830.76,4782.53,5534.75,8014.06,5865.71,6851.37,6556.05,8557.53,8196.61,2508.0,6997.63,13981.91,5899.38,6173.5,12239.18,5012.47,5097.48,5925.7,9370.46,9137.07,5910.61,10428.02,8850.95,6325.91,14261.74,5124.51,3974.94,6220.24,5352.44,7730.8,3157.52,10086.97,5004.9,12151.95,10921.66,12037.66,2927.6,9124.15,11547.6,7574.27,10302.34,5599.43,3538.89,9279.06,4810.32,10238.67,6281.62,16132.73,8139.61,8628.61,5544.27,9067.04,8398.24,14480.34,4917.41,10095.69,11415.76,13716.23,10156.43,6409.75,4562.53,12785.29,8026.09,4938.83,7513.89,9946.27,6789.57
market 24,3439.39,7156.61,8758.49,1589.7,10003.14,8317.53,6647.67,3706.68,4590.52,5876.67,4588.66,4953.49,7440.9,7934.61,9880.6,8552.72,9863.06,6101.33,4823.44,14219.55,8671.01,2527.78,4285.07,11967.64,0.0,9560.33,17194.75,2164.26,12339.02,3383.39,7510.21,5457.27,4766.71,9074.19,7730.3,10197.4,6129.64,6291.77,5815.45,6791.05,5215.93,4107.37,9869.77,10797.58,3115.66,7393.92,7147.86,7382.68,12881.62,12129.95,6729.38,3167.46,4421.19,7058.27,4842.26,3220.62,5903.61,5510.33,7626.31,8019.05,11590.09,9381.31,9260.02,9900.3,4562.46,7266.66,4487.51,1474.13,1591.58,12322.91,5110.17,1583.55,12400.08,2041.88,15359.74,9577.06,3868.96,16430.13,9137.77,10816.79,5497.37,4040.23,5936.08,6423.48,5588.56,11962.25,7764.86,8083.75,4934.57,5453.64,7570.7,3585.18,6825.15,9561.64,840.03,4184.8,12459.61,5192.97,7782.11,8990.59
market 25,8538.69,6188.65,7857.02,10640.17,2161.88,2993.78,6537.58,5940.57,5365.73,4092.39,7172.04,7855.56,3401.84,2132.35,10748.53,1656.9,1541.31,4081.74,5747.39,20158.03,3727.53,9903.21,9258.39,5565.07,9560.33,0.0,9104.45,8242.9,3696.18,7466.72,3094.09,14168.15,10329.09,5959.12,2960.98,702.05,4523.54,4534.77,3868.77,7961.29,9059.92,7011.45,4667.51,2150.03,12057.42,2390.01,2435.21,7543.53,4559.87,9460.26,3433.61,8236.69,9150.37,7215.21,9878.18,6997.03,6261.68,10621.59,6357.91,5415.7,9783.65,409.79,10383.07,2877.94,9537.13,5697.22,8511.81,8235.9,9351.91,4752.57,5680.19,9623.11,3757.24,7616.59,7789.4,2507.59,6054.38,10086.54,4784.12,1897.25,14208.24,6145.93,9578.88,5216.09,5373.48,3808.8,10123.32,2547.37,9908.04,10865.92,13166.39,9115.92,2775.09,1223.94,10214.44,7152.73,4137.86,7861.54,11509.54,9189.29
