market 0,market 1,market 2,market 3,market 4,market 5,market 6,market 7,market 8,market 9,market 10,market 11,market 12,market 13,market 14,market 15,market 16,market 17,market 18,market 19,market 20,market 21,market 22,market 23,market 24,market 25,market 26,market 27,market 28,market 29,market 30,market 31,market 32,market 33,market 34,market 35,market 36,market 37,market 38,market 39,market 40,market 41,market 42,market 43,market 44,market 45,market 46,market 47,market 48,market 49
market 12,8615.16,14269.76,13048.3,10633.67,9613.96,8588.8,5149.04,10422.3,15231.38,9373.02,12904.45,14827.19,0.0,8920.34,11179.87,9655.25,9493.46,10854.81,15876.47,7888.83,11791.11,11198.57,11783.96,10053.88,13749.25,15935.3,12257.54,18580.04,11360.9,14605.27,11692.58,14892.76,11181.69,6464.46,14671.68,9912.19,9735.59,13925.3,8897.67,14320.54,4570.22,4449.21,13338.26,13120.89,9429.7,11312.61,8005.91,8948.18,6281.37,14748.85
market 13,3696.71,7031.71,6614.58,3715.0,4668.94,8262.21,3865.64,1795.96,7856.67,2635.41,6036.68,8475.59,8920.34,0.0,4213.31,1052.48,2755.86,4687.72,8165.5,1706.38,5124.54,4601.2,4199.79,1730.09,5640.24,9133.4,4896.38,12228.44,3681.83,8781.1,7538.28,6477.46,4944.78,6636.47,7869.78,1197.37,1815.94,7123.39,1321.81,5849.33,4715.65,4595.61,8920.33,6808.15,3568.07,3326.06,3528.42,1923.23,3203.7,8864.07
market 14,3999.32,9769.55,10644.92,7297.88,8677.9,9972.46,6125.17,4587.9,10482.54,2039.21,9997.24,12505.93,11179.87,4213.31,0.0,3671.19,1962.28,8718.07,9819.45,3566.06,9085.1,8729.73,6940.98,5231.55,6919.61,12639.36,7756.93,16258.78,2174.02,12811.45,11526.4,5862.2,8975.12,8346.72,10856.14,3777.49,5590.9,10629.35,2937.59,6776.98,6975.18,6855.14,6633.92,2907.34,7598.42,5871.54,4234.74,2393.4,5736.36,12894.42
market 15,3911.08,6563.97,7077.36,3703.47,5110.35,8997.12,4600.55,1102.3,7388.92,2451.62,6357.54,8938.38,9655.25,1052.48,3671.19,0.0,2572.06,5150.51,7424.97,2252.82,5445.4,5090.03,3683.61,1591.85,4868.01,9132.44,4428.63,12691.22,2835.4,9243.89,7958.85,5666.32,5407.57,7371.38,7593.28,331.32,1962.22,7122.44,932.13,5077.11,5450.56,5330.52,9229.0,6481.12,4030.86,2608.53,4072.31,1566.27,4129.31,9326.86
market 16,2199.25,8926.61,9257.71,6154.37,7336.6,8168.74,4438.76,3562.54,9751.56,164.91,8679.82,11118.73,9493.46,2755.86,1962.28,2572.06,0.0,7330.86,9625.53,1879.65,7767.68,7244.34,6022.53,4120.84,6725.69,11614.68,6910.87,14871.58,2919.03,11424.24,10139.2,6487.46,7587.92,6543.0,10013.2,2743.48,4280.24,9604.67,1701.8,6797.88,5288.77,5168.73,6832.15,4187.06,6211.21,4953.09,2434.67,1005.81,4049.95,11507.21
market 17,8277.84,4618.31,2451.93,2157.69,2176.8,12103.26,7706.68,4623.06,5521.44,7210.42,2500.42,4210.87,10854.81,4687.72,8718.07,5150.51,7330.86,0.0,6530.91,6356.54,1387.08,807.15,3510.15,3797.96,5780.29,5826.31,3081.34,7963.72,7942.26,4477.15,3827.68,8919.56,507.16,10477.52,5045.01,5171.29,3389.68,3758.12,5895.68,7090.09,7757.39,7976.21,13570.49,11383.16,1425.22,4149.17,8178.58,6498.23,6406.77,4560.12
market 18,11108.03,2680.34,6024.4,5152.29,7956.37,16299.08,11902.5,6359.76,2086.82,9560.42,5053.1,6852.77,15876.47,8165.5,9819.45,7424.97,9625.53,6530.91,0.0,9581.83,5545.07,5735.64,4014.75,6668.48,3381.49,5831.32,3647.56,8548.57,8117.42,7600.63,10248.27,5925.89,6360.25,14673.34,3119.45,7146.97,6634.49,3829.42,8153.72,4190.15,12752.51,12632.48,16309.77,12437.88,6835.26,5010.91,11403.87,8696.69,10989.63,7683.6
market 19,2297.23,8448.05,8283.39,5202.93,6064.58,6867.24,2834.13,3217.97,9273.0,1759.21,7705.5,10144.41,7888.83,1706.38,3566.06,2252.82,1879.65,6356.54,9581.83,0.0,6793.36,6270.02,5616.13,3170.9,7023.65,10802.22,6312.71,13897.26,3816.32,10449.92,8933.92,7488.84,6613.6,5241.5,9477.36,2509.76,3308.15,8792.21,1495.24,7232.75,3684.14,3564.1,7388.14,5931.95,5133.24,4720.72,1932.21,1334.37,2445.32,10532.89
market 20,8714.66,3358.38,1782.76,1989.41,3408.6,12963.17,8566.6,4674.74,4261.51,7647.23,1113.34,3977.02,11791.11,5124.54,9085.1,5445.4,7767.68,1387.08,5545.07,6793.36,0.0,645.45,3152.42,3853.54,5508.98,4439.22,2486.7,7661.86,8099.07,4348.67,4935.57,8679.57,938.61,11337.43,3657.93,5297.73,3727.77,2371.04,6316.35,6796.48,8693.69,9059.61,14007.3,11819.97,2361.52,3865.05,8615.4,6968.59,7310.67,4431.64
market 21,8191.32,3812.99,2266.08,1634.04,2816.06,12447.01,8050.44,4319.37,4716.12,7123.9,1758.79,4229.71,11198.57,4601.2,8729.73,5090.03,7244.34,807.15,5735.64,6270.02,645.45,0.0,3003.65,3498.18,5273.79,5084.67,2475.95,7982.55,7743.7,4535.22,4511.73,8361.53,698.9,10821.28,4214.92,4942.36,3372.41,3016.49,5809.16,6583.59,8101.15,8319.97,13483.97,11296.64,1768.98,3547.01,8092.06,6411.71,6750.53,4618.19
market 22,7438.22,2959.91,4367.17,1589.99,4905.6,12333.37,7936.8,2603.3,3784.86,5902.08,3258.72,6414.38,11783.96,4199.79,6940.98,3683.61,6022.53,3510.15,4014.75,5616.13,3152.42,3003.65,0.0,2702.77,2468.79,5738.66,947.29,9685.96,5923.92,7246.8,7373.56,5654.03,3658.72,10707.63,4046.5,3422.37,2668.79,3728.65,4525.91,3697.07,8786.81,8666.77,12673.16,9750.9,3784.49,1087.03,7438.17,5010.42,6900.27,7329.77
market 23,5084.26,5534.69,5611.44,2111.62,4041.34,9863.67,5467.1,842.24,6359.65,4000.4,4765.69,7566.23,10053.88,1730.09,5231.55,1591.85,4120.84,3797.96,6668.48,3170.9,3853.54,3498.18,2702.77,0.0,4360.47,7836.31,3399.36,11319.08,4245.52,7871.74,6889.84,5469.15,4035.42,8237.93,6491.94,1444.18,439.23,5826.3,2462.8,4828.03,6317.11,6197.07,10384.85,8041.48,2961.85,1891.48,4992.94,3115.05,4800.19,7954.71
market 24,8539.33,4376.71,6725.21,4064.66,7218.49,13773.81,9377.24,3924.37,4812.34,6660.58,5505.81,8442.58,13749.25,5640.24,6919.61,4868.01,6725.69,5780.29,3381.49,7023.65,5508.98,5273.79,2468.79,4360.47,0.0,7505.71,3015.05,11210.27,5217.59,9275.01,9643.7,3282.36,5928.85,12148.08,5363.8,4590.01,4366.66,5495.7,5596.28,1287.5,10227.25,10107.22,13409.93,9538.04,6097.38,2587.0,8674.26,6139.25,8710.34,9357.98
market 25,12723.52,3377.08,3986.87,5758.42,7847.83,16972.03,12575.46,8052.13,3832.53,11494.23,3373.78,4027.65,15935.3,9133.4,12639.36,9132.44,11614.68,5826.31,5831.32,10802.22,4439.22,5084.67,5738.66,7836.31,7505.71,0.0,4882.46,5720.68,11648.64,5103.53,8759.8,10704.91,5371.1,15346.3,2961.21,8871.2,7710.54,2204.07,9974.75,8803.75,12837.88,13068.47,18016.16,15449.28,6800.74,6769.85,12624.26,10608.88,11319.53,5186.5
market 26,8181.08,2239.18,3718.26,1706.17,4519.55,13029.95,8633.38,3348.32,3064.14,6790.42,2520.21,5675.87,12257.54,4896.38,7756.93,4428.63,6910.87,3081.34,3647.56,6312.71,2486.7,2475.95,947.29,3399.36,3015.05,4882.46,0.0,8788.82,6729.77,6508.29,6944.75,6297.42,3100.57,11404.22,3252.17,4167.39,3365.37,2872.45,5270.94,4302.56,9160.11,9360.91,13526.66,10633.73,3398.43,1969.86,8134.75,5905.07,7611.97,6591.26
market 27,15818.55,7129.04,6100.21,9232.17,9378.86,19828.48,15431.91,12144.18,6808.46,14751.13,6606.49,3752.9,18580.04,12228.44,16258.78,12691.22,14871.58,7963.72,8548.57,13897.26,7661.86,7982.55,9685.96,11319.08,11210.27,5720.68,8788.82,0.0,15482.98,4920.63,8270.83,14372.83,7510.81,18202.74,5857.55,12692.41,10910.8,6065.43,13436.4,12550.63,15482.62,15701.44,21111.2,18923.87,9150.45,10673.36,15719.3,14038.95,14132.0,3988.38
market 28,4879.89,8606.58,9856.97,6334.29,7902.1,10445.38,6306.2,3597.19,9145.1,3001.14,9011.21,11730.13,11360.9,3681.83,2174.02,2835.4,2919.03,7942.26,8117.42,3816.32,8099.07,7743.7,5923.92,4245.52,5217.59,11648.64,6729.77,15482.98,0.0,12035.64,10750.6,3944.54,8199.32,8819.65,9593.67,2927.15,4637.97,9638.63,2630.19,4753.37,7156.21,7036.18,8692.05,4661.23,6822.61,4881.75,5115.3,2686.92,5993.49,12118.61
market 29,12371.22,5243.94,2929.57,6125.43,5549.39,16381.15,11984.57,8696.84,5786.45,11303.8,4124.44,1899.95,14605.27,8781.1,12811.45,9243.89,11424.24,4477.15,7600.63,10449.92,4348.67,4535.22,7246.8,7871.74,9275.01,5103.53,6508.29,4920.63,12035.64,0.0,4380.22,12474.2,4063.48,14755.41,5058.53,9245.08,7463.47,3771.23,9989.06,10573.04,12035.28,12254.1,17663.87,15476.54,5703.11,8038.4,12271.96,10591.61,10684.67,930.44
market 30,11080.6,8028.85,4920.78,5976.48,2919.13,14384.74,9988.17,7714.94,8931.98,10018.75,5506.73,5484.13,11692.58,7538.28,11526.4,7958.85,10139.2,3827.68,10248.27,8933.92,4935.57,4511.73,7373.56,6889.84,9643.7,8759.8,6944.75,8270.83,10750.6,4380.22,0.0,12114.74,3997.02,12759.01,8071.8,8067.17,6481.56,6708.78,8704.02,10785.55,9745.05,10110.07,15927.58,14191.49,4269.33,7740.33,10487.26,9306.57,8688.26,4523.8
market 31,8683.85,7461.08,10007.57,6948.52,9266.24,14234.63,9838.06,4773.69,7833.22,6805.11,8788.17,11641.78,14892.76,6477.46,5862.2,5666.32,6487.46,8919.56,5925.89,7488.84,8679.57,8361.53,5654.03,5469.15,3282.36,10704.91,6297.42,14372.83,3944.54,12474.2,12114.74,0.0,9016.6,12608.89,8448.17,5427.24,5633.26,8694.9,6152.45,2062.76,10688.07,10568.04,11516.92,7187.74,8186.76,4968.36,8919.27,6463.78,9525.35,12557.17
market 32,8534.9,4290.25,1999.02,2289.11,2580.21,12430.13,8033.56,4860.52,5193.38,7467.48,2045.21,3757.96,11181.69,4944.78,8975.12,5407.57,7587.92,507.16,6360.25,6613.6,938.61,698.9,3658.72,4035.42,5928.85,5371.1,3100.57,7510.81,8199.32,4063.48,3997.02,9016.6,0.0,10804.39,4589.8,5408.75,3627.14,3302.91,6152.74,7238.66,8084.27,8303.09,13827.54,11640.22,1752.1,4202.08,8435.64,6755.29,6733.65,4146.45
market 33,5661.23,13539.55,12671.0,10014.86,9889.67,2224.44,2930.21,8303.8,14364.5,6422.56,12249.58,14449.89,6464.46,6636.47,8346.72,7371.38,6543.0,10477.52,14673.34,5241.5,11337.43,10821.28,10707.63,8237.93,12148.08,15346.3,11404.22,18202.74,8819.65,14755.41,12759.01,12608.89,10804.39,0.0,14082.67,7628.33,8233.98,13336.29,6613.81,12357.17,4259.94,3859.44,7189.08,10166.97,9052.41,9833.9,5051.98,6300.85,4364.88,14838.38
market 34,11345.73,1282.56,3278.62,4494.8,6720.26,15708.41,11311.84,6512.97,1076.88,9892.75,2639.37,3982.66,14671.68,7869.78,10856.14,7593.28,10013.2,5045.01,3119.45,9477.36,3657.93,4214.92,4046.5,6491.94,5363.8,2961.21,3252.17,5857.55,9593.67,5058.53,8071.8,8448.17,4589.8,14082.67,0.0,7332.04,6469.09,1375.86,8435.59,6547.01,11574.26,11804.85,16691.31,13741.57,5599.14,5077.7,11299.4,9001.08,10055.91,5141.5
market 35,4082.5,6302.73,7055.62,3521.05,5218.67,9254.06,4857.49,819.07,7127.68,2623.03,6209.87,8939.56,9912.19,1197.37,3777.49,331.32,2743.48,5171.29,7146.97,2509.76,5297.73,4942.36,3422.37,1444.18,4590.01,8871.2,4167.39,12692.41,2927.15,9245.08,8067.17,5427.24,5408.75,7628.33,7332.04,0.0,1813.41,6861.19,1103.54,4799.11,5707.5,5587.47,9400.42,6587.42,4139.19,2323.1,4206.17,1737.68,4271.02,9328.05
market 36,5229.45,5500.71,5296.94,1985.85,3633.06,9859.71,5463.14,1263.73,6325.66,4159.8,4639.92,7157.95,9735.59,1815.94,5590.9,1962.22,4280.24,3389.68,6634.49,3308.15,3727.77,3372.41,2668.79,439.23,4366.66,7710.54,3365.37,10910.8,4637.97,7463.47,6481.56,5633.26,3627.14,8233.98,6469.09,1813.41,0.0,5700.53,2845.06,4937.96,6313.15,6193.12,10522.09,8332.54,2553.57,1883.34,5130.19,3447.61,4823.83,7546.44
market 37,10713.51,1472.73,1915.59,3748.42,5779.65,14962.03,10565.45,6042.12,2015.24,9484.22,1304.7,2938.81,13925.3,7123.39,10629.35,7122.44,9604.67,3758.12,3829.42,8792.21,2371.04,3016.49,3728.65,5826.3,5495.7,2204.07,2872.45,6065.43,9638.63,3771.23,6708.78,8694.9,3302.91,13336.29,1375.86,6861.19,5700.53,0.0,7964.74,6793.74,10827.87,11058.46,16006.16,13439.28,4732.56,4759.85,10614.25,8598.87,9309.53,3854.2
market 38,3042.46,7406.27,7822.54,4574.42,5819.21,8239.54,3842.97,1922.61,8231.22,1581.36,7228.49,9683.55,8897.67,1321.81,2937.59,932.13,1701.8,5895.68,8153.72,1495.24,6316.35,5809.16,4525.91,2462.8,5596.28,9974.75,5270.94,13436.4,2630.19,9989.06,8704.02,6152.45,6152.74,6613.81,8435.59,1103.54,2845.06,7964.74,0.0,5805.38,4692.98,4572.95,8358.75,5749.35,4776.04,3380.76,3166.14,696.01,3530.26,10072.03
market 39,8611.51,5559.92,8012.71,5118.96,7937.05,13982.91,9586.34,4136.17,5903.81,6732.77,6793.31,9740.62,14320.54,5849.33,6776.98,5077.11,6797.88,7090.09,4190.15,7232.75,6796.48,6583.59,3697.07,4828.03,1287.5,8803.75,4302.56,12550.63,4753.37,10573.04,10785.55,2062.76,7238.66,12357.17,6547.01,4799.11,4937.96,6793.74,5805.38,0.0,10436.35,10316.32,12929.04,8599.87,6883.51,3172.54,8846.93,6301.72,8919.43,10656.01
market 40,4774.72,11172.33,9950.87,7536.24,6898.48,5885.68,1417.17,6382.98,12133.95,5168.33,9807.03,11729.77,4570.22,4715.65,6975.18,5450.56,5288.77,7757.39,12752.51,3684.14,8693.69,8101.15,8786.81,6317.11,10227.25,12837.88,9160.11,15482.62,7156.21,12035.28,9745.05,10688.07,8084.27,4259.94,11574.26,5707.5,6313.15,10827.87,4692.98,10436.35,0.0,643.72,9605.8,9130.57,6332.28,7913.08,4165.48,4743.49,2050.53,12118.25
market 41,4408.0,11402.92,10169.69,7737.04,7263.5,5485.18,988.16,6262.94,12334.75,5048.29,9971.75,11948.59,4449.21,4595.61,6855.14,5330.52,5168.73,7976.21,12632.48,3564.1,9059.61,8319.97,8666.77,6197.07,10107.22,13068.47,9360.91,15701.44,7036.18,12254.1,10110.07,10568.04,8303.09,3859.44,11804.85,5587.47,6193.12,11058.46,4572.95,10316.32,643.72,0.0,9239.08,8913.73,6551.1,7793.04,3798.75,4623.45,1930.49,12337.07
market 42,5760.62,15661.99,15497.34,12416.88,13058.24,5726.94,8311.59,10219.49,16486.95,7020.23,14919.45,17358.35,13338.26,8920.33,6633.92,9229.0,6832.15,13570.49,16309.77,7388.14,14007.3,13483.97,12673.16,10384.85,13409.93,18016.16,13526.66,21111.2,8692.05,17663.87,15927.58,11516.92,13827.54,7189.08,16691.31,9400.42,10522.09,16006.16,8358.75,12929.04,9605.8,9239.08,0.0,5213.65,12373.58,11602.28,5441.75,7662.75,8402.3,17746.84
market 43,4744.58,12654.98,13310.01,10107.8,11388.9,10587.37,7986.25,7397.83,13465.56,4336.47,12732.12,15171.03,13120.89,6808.15,2907.34,6481.12,4187.06,11383.16,12437.88,5931.95,11819.97,11296.64,9750.9,8041.48,9538.04,15449.28,10633.73,18923.87,4661.23,15476.54,14191.49,7187.74,11640.22,10166.97,13741.57,6587.42,8332.54,13439.28,5749.35,8599.87,9130.57,8913.73,5213.65,0.0,10263.51,8681.46,5938.25,5058.1,8193.63,15559.51
market 44,7158.19,5197.22,3618.7,2193.0,1437.11,10678.14,6281.57,3786.95,6201.34,6090.77,3474.86,5397.6,9429.7,3568.07,7598.42,4030.86,6211.21,1425.22,6835.26,5133.24,2361.52,1768.98,3784.49,2961.85,6097.38,6800.74,3398.43,9150.45,6822.61,5703.11,4269.33,8186.76,1752.1,9052.41,5599.14,4139.19,2553.57,4732.56,4776.04,6883.51,6332.28,6551.1,12373.58,10263.51,0.0,3808.7,6929.08,5378.58,4981.66,5786.08
market 45,6350.88,3991.11,5354.57,1975.32,4904.09,11459.64,7063.06,1504.03,4816.06,4832.65,4246.12,7401.78,11312.61,3326.06,5871.54,2608.53,4953.09,4149.17,5010.91,4720.72,3865.05,3547.01,1087.03,1891.48,2587.0,6769.85,1969.86,10673.36,4881.75,8038.4,7740.33,4968.36,4202.08,9833.9,5077.7,2323.1,1883.34,4759.85,3380.76,3172.54,7913.08,7793.04,11602.28,8681.46,3808.7,0.0,6540.2,3939.54,6429.61,8121.37
market 46,1346.26,10270.09,10105.43,7024.97,7617.92,6677.72,2871.27,5037.45,11095.04,2312.28,9527.54,11966.45,8005.91,3528.42,4234.74,4072.31,2434.67,8178.58,11403.87,1932.21,8615.4,8092.06,7438.17,4992.94,8674.26,12624.26,8134.75,15719.3,5115.3,12271.96,10487.26,8919.27,8435.64,5051.98,11299.4,4206.17,5130.19,10614.25,3166.14,8846.93,4165.48,3798.75,5441.75,5938.25,6929.08,6540.2,0.0,2714.81,2961.98,12354.93
market 47,2591.14,7914.5,8425.08,5226.67,6503.97,7926.59,3893.48,2556.75,8739.45,885.36,7880.73,10286.1,8948.18,1923.23,2393.4,1566.27,1005.81,6498.23,8696.69,1334.37,6968.59,6411.71,5010.42,3115.05,6139.25,10608.88,5905.07,14038.95,2686.92,10591.61,9306.57,6463.78,6755.29,6300.85,9001.08,1737.68,3447.61,8598.87,696.01,6301.72,4743.49,4623.45,7662.75,5058.1,5378.58,3939.54,2714.81,0.0,3504.67,10674.58
market 48,3571.22,9653.99,8600.26,5988.1,5818.92,5990.62,1469.81,4866.06,10585.81,3929.51,8222.82,10379.15,6281.37,3203.7,5736.36,4129.31,4049.95,6406.77,10989.63,2445.32,7310.67,6750.53,6900.27,4800.19,8710.34,11319.53,7611.97,14132.0,5993.49,10684.67,8688.26,9525.35,6733.65,4364.88,10055.91,4271.02,4823.83,9309.53,3530.26,8919.43,2050.53,1930.49,8402.3,8193.63,4981.66,6429.61,2961.98,3504.67,0.0,10767.63
market 49,12454.19,5326.9,3012.54,6208.4,5692.96,16464.12,12067.54,8779.81,5869.42,11386.77,4207.4,1820.27,14748.85,8864.07,12894.42,9326.86,11507.21,4560.12,7683.6,10532.89,4431.64,4618.19,7329.77,7954.71,9357.98,5186.5,6591.26,3988.38,12118.61,930.44,4523.8,12557.17,4146.45,14838.38,5141.5,9328.05,7546.44,3854.2,10072.03,10656.01,12118.25,12337.07,17746.84,15559.51,5786.08,8121.37,12354.93,10674.58,10767.63,0.0
